tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,55.635,-72.124,110.0,0.000714286,0.000714286,1.15116E-20
yellow,44.524,-73.5059,111.0,0.000487805,0.000487805,1.83114E-21
blue,57.5447,-70.1972,112.0,0.000588235,0.000588235,-6.28753E-21
blue,45.493,-76.855,113.0,0.000645161,0.000645161,-2.79143E-21
blue,41.8327,-77.649,114.0,0.000555556,0.000555556,9.18996E-21
blue,38.6201,-78.347,115.0,0.000571429,0.000571429,-6.98649E-21
yellow,35.8492,-74.1811,116.0,0.0008,0.0008,-8.53977E-21
blue,35.9434,-78.4187,117.0,0.000606061,0.000606061,-7.03787E-21
blue,27.3554,-71.8404,118.0,0.000540541,0.000540541,3.27488E-21
yellow,33.9096,-73.9879,119.0,0.000689655,0.000689655,-7.46933E-21
blue,33.3533,-78.1441,120.0,0.000666667,0.000666667,-3.9525E-21
yellow,31.9143,-72.5106,121.0,0.000625,0.000625,7.05747E-23
blue,31.1903,-77.2793,122.0,0.000571429,0.000571429,5.78929E-21
yellow,32.4566,-73.3371,123.0,0.00117647,0.00117647,1.29605E-20
blue,29.4399,-76.23,124.0,0.000588235,0.000588235,-6.54989E-21
blue,28.1828,-74.1529,125.0,0.00272727,0.00272727,1.24844E-20
blue,26.8605,-69.4404,126.0,0.000588235,0.000588235,1.72761E-21
yellow,33.2646,-73.9119,127.0,0.00285714,0.00285714,-3.9816E-20
blue,15.9999,-58.1636,128.0,0.000465116,0.000465116,-2.41582E-21
blue,13.241,-56.8285,129.0,0.00047619,0.00047619,-5.25894E-21
blue,10.0427,-54.9843,130.0,0.0005,0.0005,-1.32355E-20
yellow,12.2164,-51.4882,131.0,0.000740741,0.000740741,-2.21949E-22
yellow,9.32003,-50.0905,132.0,0.00264957,0.00264957,-6.90309E-20
blue,7.53978,-53.666,133.0,0.000625,0.000625,-5.48874E-21
blue,4.87184,-52.0691,134.0,0.000540541,0.000540541,-2.30136E-20
yellow,6.60007,-48.6023,135.0,0.000666667,0.000666667,3.95398E-21
yellow,3.91225,-47.3217,136.0,0.000714286,0.000714286,-9.55249E-21
blue,2.16436,-50.6829,137.0,0.000606061,0.000606061,8.72991E-21
blue,-0.139786,-49.097,138.0,0.000588235,0.000588235,1.19201E-20
yellow,1.771,-46.1811,139.0,0.000666667,0.000666667,1.81663E-20
blue,-1.66202,-47.6824,140.0,0.000625,0.000625,1.25117E-20
yellow,0.797784,-45.3271,141.0,0.001,0.001,2.79593E-20
blue,-2.91331,-46.2628,142.0,0.000625,0.000625,6.82921E-21
yellow,-0.642236,-43.3317,143.0,0.000714286,0.000714286,1.87392E-20
yellow,-0.00508102,-44.5001,144.0,0.00105263,0.00105263,-1.64166E-20
yellow,-1.34621,-41.5644,145.0,0.000740741,0.000740741,7.2556E-21
blue,-4.02776,-44.8824,146.0,0.000606061,0.000606061,-1.33333E-20
blue,-4.97174,-43.2836,147.0,0.00244444,0.00244444,-1.09639E-20
yellow,-1.95386,-39.7213,148.0,0.000625,0.000625,-1.40105E-21
yellow,-2.29135,-36.6938,149.0,0.000606061,0.000606061,-3.56065E-21
blue,-5.77728,-40.9345,150.0,0.00272727,0.00272727,-7.00919E-20
blue,-6.03989,-38.8581,151.0,0.000606061,0.000606061,2.09194E-20
yellow,-2.32441,-38.3341,152.0,0.000952381,0.000952381,-3.0203E-20
yellow,-0.493359,-32.0288,153.0,0.000588235,0.000588235,1.04355E-20
blue,-5.85546,-36.9461,154.0,0.00272727,0.00272727,-4.40928E-20
blue,-5.4486,-34.5993,155.0,0.000625,0.000625,-7.9596E-21
yellow,-2.00356,-35.4429,156.0,0.000689655,0.000689655,-3.96507E-21
blue,-3.10025,-29.0858,157.0,0.000487805,0.000487805,3.32555E-21
blue,-4.38119,-32.3776,158.0,0.000625,0.000625,-1.74569E-21
yellow,0.750251,-29.042,159.0,0.000645161,0.000645161,-7.80233E-21
yellow,-1.47469,-34.1983,160.0,0.000740741,0.000740741,-1.96855E-20
blue,-2.81844,-27.0939,161.0,0.000666667,0.000666667,5.4506E-21
blue,-3.71853,-30.4691,162.0,0.000588235,0.000588235,-7.4955E-21
yellow,0.835029,-27.2047,163.0,0.000714286,0.000714286,9.70889E-21
yellow,0.0670313,-30.5967,164.0,0.000645161,0.000645161,1.06894E-20
blue,-3.16108,-26.0186,165.0,0.000588235,0.000588235,-9.8581E-21
blue,-2.7464,-28.0408,166.0,0.000740741,0.000740741,-1.29527E-20
yellow,0.475129,-24.8332,167.0,0.000740741,0.000740741,-1.55834E-20
blue,-5.77168,-22.3989,168.0,0.000454545,0.000454545,-1.23454E-22
blue,-4.04122,-24.2289,169.0,0.000512821,0.000512821,-4.88851E-21
yellow,-0.59749,-22.4375,170.0,0.000714286,0.000714286,1.02147E-20
blue,-7.51772,-20.5756,171.0,0.000465116,0.000465116,-9.98243E-22
yellow,-2.44511,-20.3592,172.0,0.000588235,0.000588235,7.13503E-21
blue,-9.12342,-18.8254,173.0,0.00047619,0.00047619,-1.03729E-20
yellow,-5.04465,-17.9998,174.0,0.000588235,0.000588235,2.0564E-21
blue,-10.2676,-17.4507,175.0,0.000465116,0.000465116,6.24356E-21
yellow,-6.6529,-16.5998,176.0,0.000571429,0.000571429,-6.67372E-21
yellow,-7.64109,-15.6299,177.0,0.000625,0.000625,-6.24926E-21
blue,-12.7224,-13.6198,178.0,0.00310606,0.00310606,-9.64005E-20
yellow,-8.57523,-14.11,179.0,0.000714286,0.000714286,1.10258E-20
blue,-11.6233,-15.6708,180.0,0.000571429,0.000571429,8.35749E-21
blue,-13.5124,-11.1463,181.0,0.000588235,0.000588235,-2.60685E-20
yellow,-9.41063,-6.55504,182.0,0.000540541,0.000540541,7.51633E-21
yellow,-9.68133,-10.6447,183.0,0.000714286,0.000714286,5.2866E-21
yellow,-9.26599,-12.54,184.0,0.0008,0.0008,-9.43115E-22
blue,-14.1301,-8.50549,185.0,0.00466667,0.00466667,-1.48945E-19
yellow,-9.6528,-8.36835,186.0,0.000606061,0.000606061,2.25622E-20
yellow,-8.55047,-4.0399,187.0,0.000555556,0.000555556,5.28099E-21
yellow,-1.34595,-1.53133,188.0,0.000384615,0.000384615,7.15384E-21
blue,-13.6071,-5.42415,189.0,0.000625,0.000625,1.75315E-20
